Input Mass	Matched Mass	Delta	Name	Formula	Ion	LMSD Examples
325.27482	325.2748	.0000	FA 20:1;O	C20H38O3	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 20:1;O
325.27482	325.2748	.0000	TG 37:0	C40H76O6	[M-2H]2-	/resources/tools/chemdb_ontology?abbrev=TG 37:0
241.21700	241.2173	.0003	FA 15:0	C15H30O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 15:0
241.21700	241.2173	.0003	SFE 15:0	C15H30O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=SFE 15:0
241.21700	241.2173	.0003	WE 15:0	C15H30O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=WE 15:0
243.19638	243.1966	.0002	FA 14:0;O	C14H28O3	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 14:0;O
239.20137	239.2017	.0003	FA 15:1	C15H28O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 15:1
239.20137	239.2017	.0003	SFE 15:1	C15H28O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=SFE 15:1
239.20137	239.2017	.0003	WE 15:1	C15H28O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=WE 15:1
361.23887	361.2384	.0004	FA 22:5;O2	C22H34O4	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 22:5;O2
361.23887	361.2384	.0004	FA 21:5	C21H32O2	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=FA 21:5
361.23887	361.2384	.0004	ST 21:2;O2	C21H32O2	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=ST 21:2;O2
361.23887	361.2384	.0004	FA 20:5	C20H30O2	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=FA 20:5
361.23887	361.2384	.0004	ST 20:2;O2	C20H30O2	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=ST 20:2;O2
335.22297	335.2228	.0002	FA 20:4;O2	C20H32O4	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 20:4;O2
335.22297	335.2228	.0002	FA 19:4	C19H30O2	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=FA 19:4
335.22297	335.2228	.0002	ST 19:1;O2	C19H30O2	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=ST 19:1;O2
335.22297	335.2228	.0002	FA 18:4	C18H28O2	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=FA 18:4
335.22297	335.2228	.0002	ST 18:1;O2	C18H28O2	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=ST 18:1;O2
431.28019	431.2803	.0001	ST 24:3;O3	C24H36O3	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=ST 24:3;O3
450.35915	450.3589	.0003	CAR 20:2	C27H49NO4	[M-H]-	/resources/tools/chemdb_ontology?abbrev=CAR 20:2
295.22815	295.2279	.0003	FA 18:2;O	C18H32O3	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 18:2;O
239.12865	239.1289	.0002	FA 12:3	C12H18O2	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=FA 12:3
239.12865	239.1289	.0002	FA 11:3	C11H16O2	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=FA 11:3
239.12865	239.1289	.0002	SFE 11:3	C11H16O2	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=SFE 11:3
