LMSD Examples,Input Mass
/resources/tools/chemdb_ontology?abbrev=FA 16:4,247.17011
/resources/tools/chemdb_ontology?abbrev=SFE 16:4,247.17011
/resources/tools/chemdb_ontology?abbrev=FA 18:1;O,297.24383
/resources/tools/chemdb_ontology?abbrev=FA 16:3,249.18586
/resources/tools/chemdb_ontology?abbrev=SFE 16:3,249.18586
/resources/tools/chemdb_ontology?abbrev=WE 16:3,249.18586
/resources/tools/chemdb_ontology?abbrev=FA 32:6;O2,249.18586
/resources/tools/chemdb_ontology?abbrev=CAR 18:2,422.32783
/resources/tools/chemdb_ontology?abbrev=PA O-28:0,577.42416
/resources/tools/chemdb_ontology?abbrev=ST 21:4;O4,343.19143
/resources/tools/chemdb_ontology?abbrev=ST 20:4;O2,343.19143
/resources/tools/chemdb_ontology?abbrev=FA 22:5;O2,361.23866
/resources/tools/chemdb_ontology?abbrev=FA 21:5,361.23866
/resources/tools/chemdb_ontology?abbrev=ST 21:2;O2,361.23866
/resources/tools/chemdb_ontology?abbrev=FA 20:5,361.23866
/resources/tools/chemdb_ontology?abbrev=ST 20:2;O2,361.23866
/resources/tools/chemdb_ontology?abbrev=FA 15:1;O,255.19660
/resources/tools/chemdb_ontology?abbrev=FA 20:3;O2,337.23864
/resources/tools/chemdb_ontology?abbrev=FA 19:3,337.23864
/resources/tools/chemdb_ontology?abbrev=SFE 19:3,337.23864
/resources/tools/chemdb_ontology?abbrev=ST 19:0;O2,337.23864
/resources/tools/chemdb_ontology?abbrev=FA 18:3,337.23864
/resources/tools/chemdb_ontology?abbrev=SFE 18:3,337.23864
/resources/tools/chemdb_ontology?abbrev=ST 18:0;O2,337.23864
/resources/tools/chemdb_ontology?abbrev=FA 22:4;O,347.25908
/resources/tools/chemdb_ontology?abbrev=ST 22:1;O3,347.25908
/resources/tools/chemdb_ontology?abbrev=ST 21:1;O,347.25908
/resources/tools/chemdb_ontology?abbrev=FA 18:4;O,291.19675
/resources/tools/chemdb_ontology?abbrev=FA 18:0;O2,315.25406
/resources/tools/chemdb_ontology?abbrev=MG O-15:1;O,315.25406
/resources/tools/chemdb_ontology?abbrev=FA 17:0,315.25406
/resources/tools/chemdb_ontology?abbrev=SFE 17:0,315.25406
/resources/tools/chemdb_ontology?abbrev=WE 17:0,315.25406
/resources/tools/chemdb_ontology?abbrev=FA 16:0,315.25406
/resources/tools/chemdb_ontology?abbrev=SFE 16:0,315.25406
/resources/tools/chemdb_ontology?abbrev=WE 16:0,315.25406
/resources/tools/chemdb_ontology?abbrev=FA 18:2;O,331.20487
/resources/tools/chemdb_ontology?abbrev=FA 20:4;O,319.22804
/resources/tools/chemdb_ontology?abbrev=ST 19:1;O,319.22804
/resources/tools/chemdb_ontology?abbrev=FA 20:4;O,355.20501
/resources/tools/chemdb_ontology?abbrev=FA 18:1;O2,313.23881
/resources/tools/chemdb_ontology?abbrev=FA 17:1,313.23881
/resources/tools/chemdb_ontology?abbrev=SFE 17:1,313.23881
/resources/tools/chemdb_ontology?abbrev=FA 16:1,313.23881
/resources/tools/chemdb_ontology?abbrev=SFE 16:1,313.23881
/resources/tools/chemdb_ontology?abbrev=WE 16:1,313.23881
/resources/tools/chemdb_ontology?abbrev=FA 14:0;O,243.19631
/resources/tools/chemdb_ontology?abbrev=FA 22:4;O,347.25939
/resources/tools/chemdb_ontology?abbrev=ST 22:1;O3,347.25939
/resources/tools/chemdb_ontology?abbrev=ST 21:1;O,347.25939
/resources/tools/chemdb_ontology?abbrev=FA 18:7,329.17615
/resources/tools/chemdb_ontology?abbrev=ST 18:4;O2,329.17615
/resources/tools/chemdb_ontology?abbrev=FA 22:6;O,379.20483
/resources/tools/chemdb_ontology?abbrev=ST 22:3;O3,379.20483
/resources/tools/chemdb_ontology?abbrev=FA 21:3;O2,411.27550
/resources/tools/chemdb_ontology?abbrev=FA 12:3,253.14446
/resources/tools/chemdb_ontology?abbrev=FA 15:2,237.18577
/resources/tools/chemdb_ontology?abbrev=SFE 15:2,237.18577
/resources/tools/chemdb_ontology?abbrev=WE 15:2,237.18577
/resources/tools/chemdb_ontology?abbrev=FA 16:4,293.17594
/resources/tools/chemdb_ontology?abbrev=SFE 16:4,293.17594
/resources/tools/chemdb_ontology?abbrev=FA 15:4,293.17594
/resources/tools/chemdb_ontology?abbrev=WE 15:4,293.17594
/resources/tools/chemdb_ontology?abbrev=ST 28:3;O2;GlcA,293.17594
/resources/tools/chemdb_ontology?abbrev=NAE 20:4;O,362.27016
/resources/tools/chemdb_ontology?abbrev=ST 24:1;O4,437.29083
/resources/tools/chemdb_ontology?abbrev=FA 23:4;O2,437.29083
/resources/tools/chemdb_ontology?abbrev=FOH 23:5;O3,437.29083
/resources/tools/chemdb_ontology?abbrev=MG 20:4,437.29083
/resources/tools/chemdb_ontology?abbrev=ST 23:1;O4,437.29083
/resources/tools/chemdb_ontology?abbrev=FA 18:3;O2,309.20727
/resources/tools/chemdb_ontology?abbrev=FA 17:3,309.20727
/resources/tools/chemdb_ontology?abbrev=SFE 17:3,309.20727
/resources/tools/chemdb_ontology?abbrev=FA 16:3,309.20727
/resources/tools/chemdb_ontology?abbrev=SFE 16:3,309.20727
/resources/tools/chemdb_ontology?abbrev=WE 16:3,309.20727
/resources/tools/chemdb_ontology?abbrev=FA 19:4,289.21734
/resources/tools/chemdb_ontology?abbrev=ST 19:1;O2,289.21734
/resources/tools/chemdb_ontology?abbrev=TG 54:10,289.21734
/resources/tools/chemdb_ontology?abbrev=ST 27:3;O6,461.29116
/resources/tools/chemdb_ontology?abbrev=MG 22:6,461.29116
/resources/tools/chemdb_ontology?abbrev=ST 26:3;O3,461.29116
/resources/tools/chemdb_ontology?abbrev=FA 22:4;O,383.23625
/resources/tools/chemdb_ontology?abbrev=ST 22:1;O3,383.23625
/resources/tools/chemdb_ontology?abbrev=LPA 16:0,409.23628
/resources/tools/chemdb_ontology?abbrev=PA 42:9,255.82212
/resources/tools/chemdb_ontology?abbrev=ST 23:3;O6,405.22828
/resources/tools/chemdb_ontology?abbrev=FA 22:6;O2,405.22828
/resources/tools/chemdb_ontology?abbrev=ST 21:3;O4,405.22828
/resources/tools/chemdb_ontology?abbrev=FA 22:6;O2,395.19904
/resources/tools/chemdb_ontology?abbrev=FA 18:4,275.20161
/resources/tools/chemdb_ontology?abbrev=ST 18:1;O2,275.20161
/resources/tools/chemdb_ontology?abbrev=FA 22:5;O,345.24372
/resources/tools/chemdb_ontology?abbrev=ST 21:2;O,345.24372
/resources/tools/chemdb_ontology?abbrev=ST 20:2;O,345.24372
/resources/tools/chemdb_ontology?abbrev=FA 22:5;O2,397.21472
/resources/tools/chemdb_ontology?abbrev=ST 25:2;O4,449.29097
/resources/tools/chemdb_ontology?abbrev=ST 24:2;O4,449.29097
/resources/tools/chemdb_ontology?abbrev=FA 20:3;O2,337.23866
/resources/tools/chemdb_ontology?abbrev=FA 19:3,337.23866
/resources/tools/chemdb_ontology?abbrev=SFE 19:3,337.23866
/resources/tools/chemdb_ontology?abbrev=ST 19:0;O2,337.23866
/resources/tools/chemdb_ontology?abbrev=FA 18:3,337.23866
/resources/tools/chemdb_ontology?abbrev=SFE 18:3,337.23866
/resources/tools/chemdb_ontology?abbrev=ST 18:0;O2,337.23866
/resources/tools/chemdb_ontology?abbrev=FA 22:6;O,379.20452
/resources/tools/chemdb_ontology?abbrev=ST 22:3;O3,379.20452
/resources/tools/chemdb_ontology?abbrev=FA 18:1;O2,313.23858
/resources/tools/chemdb_ontology?abbrev=FA 17:1,313.23858
/resources/tools/chemdb_ontology?abbrev=SFE 17:1,313.23858
/resources/tools/chemdb_ontology?abbrev=FA 16:1,313.23858
/resources/tools/chemdb_ontology?abbrev=SFE 16:1,313.23858
/resources/tools/chemdb_ontology?abbrev=WE 16:1,313.23858
/resources/tools/chemdb_ontology?abbrev=FA 18:0;O,299.25914
/resources/tools/chemdb_ontology?abbrev=FA 14:2;O,239.16486
/resources/tools/chemdb_ontology?abbrev=FA 16:1;O,305.18896
/resources/tools/chemdb_ontology?abbrev=FA 20:1;O,325.27514
/resources/tools/chemdb_ontology?abbrev=FA 15:0;O,257.21218
/resources/tools/chemdb_ontology?abbrev=LPS O-18:1,508.30461
/resources/tools/chemdb_ontology?abbrev=PA O-28:0,577.42413
/resources/tools/chemdb_ontology?abbrev=FA 20:4;O,319.22792
/resources/tools/chemdb_ontology?abbrev=ST 19:1;O,319.22792
/resources/tools/chemdb_ontology?abbrev=FA 18:1;O2,313.23871
/resources/tools/chemdb_ontology?abbrev=FA 17:1,313.23871
/resources/tools/chemdb_ontology?abbrev=SFE 17:1,313.23871
/resources/tools/chemdb_ontology?abbrev=FA 16:1,313.23871
/resources/tools/chemdb_ontology?abbrev=SFE 16:1,313.23871
/resources/tools/chemdb_ontology?abbrev=WE 16:1,313.23871
/resources/tools/chemdb_ontology?abbrev=ST 24:3;O5,403.24915
/resources/tools/chemdb_ontology?abbrev=FA 22:6;O,403.24915
/resources/tools/chemdb_ontology?abbrev=ST 22:3;O3,403.24915
/resources/tools/chemdb_ontology?abbrev=ST 25:2;O5,465.28557
/resources/tools/chemdb_ontology?abbrev=ST 24:2;O5,465.28557
/resources/tools/chemdb_ontology?abbrev=FA 14:2,223.16989
/resources/tools/chemdb_ontology?abbrev=SFE 14:2,223.16989
/resources/tools/chemdb_ontology?abbrev=WE 14:2,223.16989
/resources/tools/chemdb_ontology?abbrev=FA 22:4;O,347.25938
