Input Mass	Matched Mass	Delta	Name	Formula	Ion	LMSD Examples
327.23309	327.2330	.0001	FA 22:6	C22H32O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 22:6
327.23309	327.2177	.0154	FA 18:2;O3	C18H32O5	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 18:2;O3
327.23309	327.2541	.0210	FA 19:1;O2	C19H36O4	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 19:1;O2
327.23309	327.2541	.0210	FOH 19:2;O3	C19H36O4	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FOH 19:2;O3
327.23309	327.1966	.0365	ST 21:4;O3	C21H28O3	[M-H]-	/resources/tools/chemdb_ontology?abbrev=ST 21:4;O3
327.23309	327.2096	.0235	FA 19:3	C19H32O2	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=FA 19:3
327.23309	327.2096	.0235	SFE 19:3	C19H32O2	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=SFE 19:3
327.23309	327.2096	.0235	ST 19:0;O2	C19H32O2	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=ST 19:0;O2
327.23309	327.2177	.0154	FA 17:2;O	C17H30O3	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=FA 17:2;O
327.23309	327.2541	.0210	FA 18:1	C18H34O2	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=FA 18:1
327.23309	327.2541	.0210	SFE 18:1	C18H34O2	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=SFE 18:1
327.23309	327.2177	.0154	FA 16:2;O	C16H28O3	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=FA 16:2;O
327.23309	327.2541	.0210	FA 17:1	C17H32O2	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=FA 17:1
327.23309	327.2541	.0210	SFE 17:1	C17H32O2	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=SFE 17:1
327.23309	327.2318	.0013	PA O-34:3	C37H69O7P	[M-2H]2-	/resources/tools/chemdb_ontology?abbrev=PA O-34:3
327.23309	327.2374	.0043	CerPE 34:3;O2	C36H69N2O6P	[M-2H]2-	/resources/tools/chemdb_ontology?abbrev=CerPE 34:3;O2
327.23309	327.2136	.0195	PA 33:3	C36H65O8P	[M-2H]2-	/resources/tools/chemdb_ontology?abbrev=PA 33:3
303.23301	303.2330	.0001	FA 20:4	C20H32O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 20:4
303.23301	303.2330	.0001	ST 20:1;O2	C20H32O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=ST 20:1;O2
